Item,WeaponMesh,ScabbardMesh
ITM_Weapon_AncaKnife,/Game/_Dawnwalker/Characters/Swords/S_Sword_Anca_01/SM_S_Sword_Anca_01,
ITM_Weapon_AxeLongCommon1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Axe_01,
ITM_Weapon_AxeLongMaster1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Axe_01,
ITM_Weapon_AxeLongSuperior1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Axe_01,
ITM_Weapon_AxeShortCommon1,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Small_Axe_01,
ITM_Weapon_AxeShortMaster1,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Small_Axe_01,
ITM_Weapon_AxeShortSuperior1,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Small_Axe_01,
ITM_Weapon_AxeTest,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Axe_01,
ITM_Weapon_AxeTest2,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Small_Axe_01,
ITM_Weapon_BoardCommon1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Board_01,
ITM_Weapon_BoardTest,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Board_01,
ITM_Weapon_DawnwalkerSword,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_01/S_Sword_Dawnwalker_01,
ITM_Weapon_FarmhammerCommon1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Farmhammer_01,
ITM_Weapon_HammerCommon1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Hammer_01,
ITM_Weapon_HammerTest,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Hammer_01,
ITM_Weapon_LeonicaKnife,/Game/_Dawnwalker/Combat/Enemies/Bosses/Leonica/SM_Leonica_Knife_c,
ITM_Weapon_MaceCommon1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Mace,
ITM_Weapon_MaceMaster1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Mace,
ITM_Weapon_MaceSuperior1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Mace,
ITM_Weapon_MaceTest,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Mace,
ITM_Weapon_POI107_DeadManSword,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_07/M_Sword_NPC_07,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_07/M_Sword_NPC_07_Scabbard
ITM_Weapon_PickaxeCommon1a,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Pickaxe_01,
ITM_Weapon_PickaxeTest,/Game/_Dawnwalker/Characters/Swords/Axe_01/SM_Small_Axe_01,
ITM_Weapon_Q106_MaratSword,/Game/_Dawnwalker/Characters/Swords/S_Sword_NPC_05/S_Sword_NPC_05,/Game/_Dawnwalker/Characters/Swords/S_Sword_NPC_05/S_Sword_NPC_05_Scabbard
ITM_Weapon_SacrificialKnife,/Game/_Dawnwalker/Combat/Enemies/Bosses/Leonica/SM_Leonica_Knife_c,
ITM_Weapon_SwordAmbrus1a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Ambrus_01/S_Sword_Ambrus_01,/Game/_Dawnwalker/Characters/Swords/S_Sword_Ambrus_01/S_Sword_Ambrus_01_Scabbard
ITM_Weapon_SwordAncient1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_Ancient_Hero_01/M_Sword_Ancient_Hero_01,/Game/_Dawnwalker/Characters/Swords/M_Sword_Ancient_Hero_01/M_Sword_Ancient_Hero_01_Scabbard
ITM_Weapon_SwordBanditCommon1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06_Scabbard
ITM_Weapon_SwordBanditMaster1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06_Scabbard
ITM_Weapon_SwordBanditSuperior1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06_Scabbard
ITM_Weapon_SwordBlacksmithMasterpice1a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Blacksmith_01/S_Sword_Blacksmith_01,/Game/_Dawnwalker/Characters/Swords/S_Sword_Blacksmith_01/S_Sword_Blacksmith_01_Scabbard
ITM_Weapon_SwordBlacksmithMasterpice2a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Blacksmith_02/S_Sword_Blacksmith_02,/Game/_Dawnwalker/Characters/Swords/S_Sword_Blacksmith_02/S_Sword_Blacksmith_02_Scabbard
ITM_Weapon_SwordBlacksmithMasterpice3a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Blacksmith_03/S_Sword_Blacksmith_03,/Game/_Dawnwalker/Characters/Swords/S_Sword_Blacksmith_03/S_Sword_Blacksmith_03_Scabbard
ITM_Weapon_SwordBlacksmithMasterpice4a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Blacksmith_04/S_Sword_Blacksmith_04,/Game/_Dawnwalker/Characters/Swords/S_Sword_Blacksmith_04/S_Sword_Blacksmith_04_Scabbard
ITM_Weapon_SwordBloodSlave1a,/Game/_Dawnwalker/Characters/Swords/S_Sword_NPC_06/S_Sword_NPC_06,/Game/_Dawnwalker/Characters/Swords/S_Sword_NPC_06/S_Sword_NPC_06_Scabbard
ITM_Weapon_SwordDawnwalker1a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_04/S_Sword_Dawnwalker_04,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_01/S_Sword_Dawnwalker_01_Scabbard
ITM_Weapon_SwordDawnwalker2a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_03/S_Sword_Dawnwalker_03,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_01/S_Sword_Dawnwalker_01_Scabbard
ITM_Weapon_SwordDawnwalker3a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_02/S_Sword_Dawnwalker_02,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_01/S_Sword_Dawnwalker_01_Scabbard
ITM_Weapon_SwordDawnwalker4a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_01/S_Sword_Dawnwalker_01,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_01/S_Sword_Dawnwalker_01_Scabbard
ITM_Weapon_SwordDawnwalker5a,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_01/S_Sword_Dawnwalker_01,/Game/_Dawnwalker/Characters/Swords/S_Sword_Dawnwalker_01/S_Sword_Dawnwalker_01_Scabbard
ITM_Weapon_SwordErkas1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_Erka_01/M_Sword_Erka_01,/Game/_Dawnwalker/Characters/Swords/M_Sword_Erka_01/M_Sword_Erka_01_Scabbard
ITM_Weapon_SwordGargoyle1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_Gargoyle_01/M_Sword_Gargoyle_01,/Game/_Dawnwalker/Characters/Swords/M_Sword_Gargoyle_01/M_Sword_Gargoyle_01_Scabbard
ITM_Weapon_SwordGreatCommon1a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_05/L_Sword_NPC_05,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_05/L_Sword_NPC_05_Scabbard
ITM_Weapon_SwordGreatCommon2a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_09/L_Sword_NPC_09,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_09/L_Sword_NPC_09_Scabbard
ITM_Weapon_SwordGreatCommon3,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_13/L_Sword_NPC_13,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_13/L_Sword_NPC_13_Scabbard
ITM_Weapon_SwordGreatEpic10a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_37/L_Sword_NPC_37,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_37/L_Sword_NPC_37_Scabbard
