path,global_index,module,object_or_class,member
/Script/DogwoodCharacterDevelopment/CharDevAbilitySkillTabRow,0x4a44375a8496ddfb,DogwoodCharacterDevelopment,CharDevAbilitySkillTabRow,
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentLoadoutSlotInfo,0x5a7d58334693cdd0,DogwoodCharacterDevelopment,CharacterDevelopmentLoadoutSlotInfo,
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentPawn,0x6aacf4176186fda5,DogwoodCharacterDevelopment,CharacterDevelopmentPawn,
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentQuickslotSubsystem,0x61cce18a9a927afe,DogwoodCharacterDevelopment,CharacterDevelopmentQuickslotSubsystem,
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentQuickslotSubsystem/GetAbilityInSlot,0x40ea07a8e7f8516e,DogwoodCharacterDevelopment,CharacterDevelopmentQuickslotSubsystem,GetAbilityInSlot
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentQuickslotSubsystem/GetLoadoutInfoInSlot,0x64b04c9acbe46e29,DogwoodCharacterDevelopment,CharacterDevelopmentQuickslotSubsystem,GetLoadoutInfoInSlot
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentQuickslotSubsystem/GetQuickslotPreset,0x73b5d98fab709de1,DogwoodCharacterDevelopment,CharacterDevelopmentQuickslotSubsystem,GetQuickslotPreset
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentQuickslotSubsystem/OnTraitEquippedChanged,0x7612c8a3e3608ee4,DogwoodCharacterDevelopment,CharacterDevelopmentQuickslotSubsystem,OnTraitEquippedChanged
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentQuickslotSubsystem/SetAbilityInSlot,0x5725906128693388,DogwoodCharacterDevelopment,CharacterDevelopmentQuickslotSubsystem,SetAbilityInSlot
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentQuickslotSubsystem/TrySetAbilityInFirstFreeSlot,0x4af43e2438a7dbde,DogwoodCharacterDevelopment,CharacterDevelopmentQuickslotSubsystem,TrySetAbilityInFirstFreeSlot
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem,0x6dbce4cdbeb973ec,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/AddMutationCharges,0x67dda0d999c64b7d,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,AddMutationCharges
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/AddQuestXP,0x474ccf13fded09f4,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,AddQuestXP
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/CanAutoEquipAbilities,0x5056f91ebdca95a6,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,CanAutoEquipAbilities
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/ForceLevelUp,0x7e78834d928c2992,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,ForceLevelUp
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/ForceLevelUpTo,0x4b4e034999add900,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,ForceLevelUpTo
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetAbilitySkillDataByActiveAbility,0x575687b3ba9df651,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetAbilitySkillDataByActiveAbility
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetAllTraits,0x458cb82a4a42bd1d,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetAllTraits
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetAlwaysEquippedAbilities,0x6d945ec21d78029f,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetAlwaysEquippedAbilities
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetBoughtAbilitiesCountByType,0x5f6506131a5691f0,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetBoughtAbilitiesCountByType
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetBoughtTraitsCount,0x7a194cc72fa9f8fe,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetBoughtTraitsCount
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetCharacterDevelopmentAbilitiesMode,0x4d521198026ef5c5,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetCharacterDevelopmentAbilitiesMode
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetCharacterDevelopmentMode,0x544a9a1394211ccb,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetCharacterDevelopmentMode
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetCurrentLevel,0x7af87f7779e1876d,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetCurrentLevel
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetCurrentLevelXPPercentage,0x74fca09fe1813b85,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetCurrentLevelXPPercentage
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetCurrentLevelXPRequirement,0x6c8d0e8901ab6e10,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetCurrentLevelXPRequirement
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetCurrentMutationCharges,0x4478e0f552814433,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetCurrentMutationCharges
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetCurrentMutationLevel,0x73d097d88ae84276,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetCurrentMutationLevel
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetCurrentXP,0x5d0fc2c1e64fab2e,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetCurrentXP
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetEquippableAbilities,0x617317a62757a10e,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetEquippableAbilities
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetEquippableTraits,0x45a24f281d3b1c88,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetEquippableTraits
/Script/DogwoodCharacterDevelopment/CharacterDevelopmentSubsystem/GetEquippedAbilities,0x6f1469bbdb6a4f6b,DogwoodCharacterDevelopment,CharacterDevelopmentSubsystem,GetEquippedAbilities
